时间		开盘		最高		最低		收盘		涨幅		振幅		总手		金额		换手%		成交次数		
2024-07-22,一	13.60		15.40		13.60		14.08		+6.26%		13.58%		5,615,254	81,084,043	0		0		
2024-07-23,二	13.55		13.72		13.15		13.22		-6.11%		4.05%		3,611,219	48,392,674	0		0		
2024-07-24,三	13.24		13.24		12.41		12.42		-6.05%		6.28%		2,004,740	25,551,063	0		0		
2024-07-25,四	12.25		12.75		12.25		12.40		-0.16%		4.03%		1,440,545	18,009,006	0		0		
2024-07-26,五	12.37		12.60		12.37		12.45		+0.40%		1.85%		1,279,312	15,944,723	0		0		
2024-07-29,一	12.62		12.62		12.28		12.33		-0.96%		2.73%		977,413		12,124,479	0		0		
2024-07-30,二	12.50		12.92		12.20		12.72		+3.16%		5.84%		1,932,598	24,546,381	0		0		
2024-07-31,三	12.60		13.68		12.60		13.14		+3.30%		8.49%		2,949,964	38,933,536	0		0		
2024-08-01,四	13.03		13.20		12.88		12.91		-1.75%		2.44%		1,390,594	18,076,120	0		0		
2024-08-02,五	12.78		12.90		12.38		12.42		-3.80%		4.03%		1,420,333	17,879,521	0		0		
2024-08-05,一	12.31		12.49		11.97		11.97		-3.62%		4.19%		1,011,573	12,382,507	0		0		
2024-08-06,二	12.10		12.24		11.92		12.13		+1.34%		2.67%		869,539		10,505,377	0		0		
2024-08-07,三	12.21		12.43		12.04		12.24		+0.91%		3.22%		879,153		10,802,677	0		0		
2024-08-08,四	12.20		12.30		11.94		12.04		-1.63%		2.94%		734,102		8,873,969	0		0		
2024-08-09,五	12.10		12.28		12.03		12.05		+0.08%		2.08%		471,611		5,719,868	0		0		
2024-08-12,一	11.99		12.10		11.79		11.80		-2.07%		2.57%		462,895		5,525,478	0		0		
2024-08-13,二	11.87		11.93		11.73		11.92		+1.02%		1.69%		608,939		7,196,271	0		0		
2024-08-14,三	11.91		12.00		11.80		11.86		-0.50%		1.68%		393,739		4,674,928	0		0		
2024-08-15,四	11.87		12.26		11.83		12.11		+2.11%		3.63%		741,443		8,962,167	0		0		
2024-08-16,五	12.20		12.39		12.06		12.29		+1.49%		2.73%		630,628		7,708,793	0		0		
2024-08-19,一	12.32		12.55		12.05		12.12		-1.38%		4.07%		739,738		9,096,185	0		0		
2024-08-20,二	12.00		12.25		11.76		11.85		-2.23%		4.04%		1,062,272	12,705,503	0		0		
2024-08-21,三	11.80		11.84		11.45		11.50		-2.95%		3.29%		635,689		7,400,389	0		0		
2024-08-22,四	11.51		11.88		11.23		11.25		-2.17%		5.65%		730,209		8,485,919	0		0		
2024-08-23,五	11.50		12.24		11.50		11.80		+4.89%		6.58%		1,614,148	19,238,907	0		0		
2024-08-26,一	11.53		11.71		11.19		11.48		-2.71%		4.41%		1,275,713	14,583,873	0		0		
2024-08-27,二	11.40		11.61		11.30		11.36		-1.05%		2.70%		663,542		7,584,209	0		0		
2024-08-28,三	11.38		11.88		11.32		11.74		+3.35%		4.93%		980,242		11,428,430	0		0		
2024-08-29,四	11.62		11.95		11.60		11.74		+0.00%		2.98%		692,936		8,185,923	0		0		
2024-08-30,五	11.85		12.33		11.72		12.05		+2.64%		5.20%		1,351,379	16,304,861	0		0		
2024-09-02,一	12.00		12.01		11.70		11.76		-2.41%		2.57%		732,933		8,656,901	0		0		
2024-09-03,二	11.70		11.94		11.68		11.94		+1.53%		2.21%		376,225		4,450,833	0		0		
2024-09-04,三	11.88		11.94		11.69		11.85		-0.75%		2.09%		391,262		4,614,456	0		0		
2024-09-05,四	11.90		12.05		11.81		11.93		+0.68%		2.03%		571,754		6,820,494	0		0		
2024-09-06,五	11.91		12.04		11.70		11.70		-1.93%		2.85%		578,661		6,847,961	0		0		
2024-09-09,一	11.59		11.81		11.40		11.58		-1.03%		3.50%		442,535		5,117,065	0		0		
2024-09-10,二	11.53		11.88		11.45		11.85		+2.33%		3.71%		402,374		4,697,659	0		0		
2024-09-11,三	11.67		11.85		11.63		11.70		-1.27%		1.86%		328,180		3,837,037	0		0		
2024-09-12,四	11.65		12.52		11.65		11.90		+1.71%		7.44%		2,112,366	25,676,966	0		0		
2024-09-13,五	11.85		12.50		11.77		12.25		+2.94%		6.13%		2,323,115	28,007,334	0		0		
2024-09-18,三	12.01		12.60		12.01		12.28		+0.24%		4.82%		1,426,720	17,551,100	0		0		
2024-09-19,四	12.30		13.38		12.24		13.38		+8.96%		9.28%		3,323,371	42,667,193	0		0		
2024-09-20,五	13.21		13.59		12.78		12.90		-3.59%		6.05%		3,172,144	41,663,197	0		0		
2024-09-23,一	13.12		13.60		12.92		12.92		+0.16%		5.27%		2,626,105	34,699,671	0		0		
